Time (s),Power (dBm),Percentage (%)
0.197449684,-47,100
0.798368454,-51,98
1.199601650,-57,86
1.802577972,-51,98
2.203853130,-53,94
2.804790497,-53,94
3.205076218,-51,98
3.808999538,-49,100
4.209286213,-45,100
4.813209057,-45,100
5.213495255,-47,100
5.814423561,-39,100
6.217704296,-45,100
6.818645954,-47,100
7.219917297,-45,100
7.822663784,-55,90
8.224334240,-62,76
8.828122616,-67,66
9.228543282,-67,66
9.829471588,-69,62
10.232752800,-73,54
10.833680630,-73,54
11.233610630,-67,66
11.837890625,-81,38
12.239082336,-73,54
12.842890739,-62,76
13.243338108,-58,84
13.844311714,-64,72
14.244598389,-62,76
14.848521709,-59,82
15.248807430,-57,86
15.849736214,-67,66
16.251020432,-60,80
16.854709625,-57,86
17.257915497,-53,94
17.858211517,-55,90
18.259496212,-55,90
18.862035274,-60,80
19.263705254,-67,66
19.864809990,-65,70
20.265096188,-62,76
20.869103432,-57,86
21.269389153,-59,82
21.670669556,-55,90
22.273598194,-62,76
22.677755833,-53,94
23.280078411,-53,94
23.679087639,-69,62
24.280106068,-67,66
24.683383465,-69,62
25.289309025,-73,54
25.692583561,-67,66
26.293516159,-79,42
26.694779396,-73,54
27.297725201,-67,66
27.699006081,-55,90
28.302600861,-62,76
28.703215122,-60,80
29.304147244,-60,80
29.707559109,-57,86
30.308356285,-51,98
30.708638191,-49,100
31.312565327,-53,94
31.712848186,-57,86
32.313782692,-59,82
32.714451313,-49,100
33.317498207,-57,86
33.717192650,-65,70
34.318250656,-53,94
34.718590736,-73,54
35.118877411,-63,74
35.722800255,-55,90
36.323732376,-49,100
36.724969387,-71,58
37.327941895,-55,90
37.729225635,-59,82
38.332253456,-57,86
38.733534336,-49,100
39.334466457,-41,100
39.737743378,-43,100
40.338675499,-39,100
40.738957405,-43,100
41.342884541,-43,100
41.743167400,-41,100
42.347093582,-41,100
42.747376442,-39,100
43.349206925,-41,100
43.752410889,-49,100
44.353471279,-45,100
44.753798485,-45,100
45.357728958,-41,100
45.758007526,-43,100
46.362067700,-45,100
46.762370586,-43,100
47.363303185,-47,100
47.767418384,-49,100
48.367512226,-53,94
48.768792629,-49,100
49.169078350,-45,100
49.773033142,-47,100
50.173318863,-53,94
50.774247169,-64,72
51.175531864,-49,100
51.778460503,-47,100
52.182423592,-51,98
52.782274246,-43,100
53.183949947,-55,90
53.786879063,-55,90
54.188159943,-57,86
54.789169311,-43,100
55.189451218,-57,86
55.793524742,-47,100
56.197756290,-45,100
56.797734261,-59,82
57.198970795,-55,90
57.801943302,-53,94
58.203223705,-55,90
58.804155827,-47,100
59.204438210,-55,90
59.808365345,-55,90
60.208647251,-47,100
60.812574387,-51,98
61.212856293,-47,100
61.813789368,-49,100
62.217813969,-51,98
62.817997932,-51,98
63.219278336,-59,82
63.823148727,-45,100
64.223487377,-53,94
64.827419758,-49,100
65.227696419,-51,98
65.828724861,-51,98
66.232002258,-45,100
66.832934856,-45,100
67.234214783,-59,82
67.835147381,-49,100
68.235429764,-45,100
68.842098236,-47,100
69.242633343,-45,100
69.843674660,-47,100
70.243956566,-55,90
70.848055840,-47,100
71.248337269,-49,100
71.852264881,-53,94
72.252546310,-47,100
72.857397556,-51,98
73.257670879,-49,100
73.858686924,-51,98
74.258968830,-45,100
74.862895966,-53,94
75.263177872,-49,100
75.864109993,-49,100
76.265390873,-47,100
76.868319035,-49,100
77.272264957,-53,94
77.672881126,-53,94
78.273808956,-53,94
78.677090168,-49,100
79.278088570,-47,100
79.678374290,-49,100
80.279304981,-43,100
80.682583332,-60,80
81.287413120,-47,100
81.687648296,-47,100
82.288714409,-44,100
82.691971302,-49,100
83.092283249,-49,100
83.693215847,-51,98
84.294196606,-47,100
84.697477817,-47,100
85.298406124,-47,100
85.699689865,-47,100
86.302615166,-47,100
86.703899860,-47,100
87.307140827,-49,100
87.708425522,-49,100
88.309353829,-51,98
88.712634563,-49,100
89.313562870,-47,100
89.714725494,-49,100
90.317773342,-51,98
90.719006061,-51,98
91.321982861,-47,100
91.723267078,-49,100
92.324195385,-47,100
92.727476597,-53,94
93.328404427,-49,100
93.728691101,-53,94
94.332616329,-47,100
94.732900143,-62,76
95.336823464,-47,100
95.737109184,-45,100
96.338062286,-53,94
96.739322185,-51,98
97.343249798,-45,100
97.743531227,-45,100
98.347454548,-49,100
98.747740269,-49,100
99.348686218,-51,98
99.751967430,-49,100
100.352895260,-53,94
100.754179954,-57,86
101.357104778,-57,86
101.758388996,-49,100
102.362177372,-53,94
102.762598515,-55,90
103.363526344,-51,98
103.766807556,-51,98
104.367735863,-59,82
104.768036365,-51,98
105.171298981,-47,100
105.773234367,-47,100
106.173511505,-47,100
106.777526855,-45,100
107.177809238,-47,100
107.781776905,-47,100
108.182058811,-51,98
108.782991409,-51,98
109.186268807,-49,100
109.786793709,-49,100
110.188480854,-49,100
110.792284965,-49,100
111.192689896,-47,100
111.796582699,-49,100
112.196899891,-51,98
112.797831535,-53,94
113.199061394,-47,100
113.601394653,-51,98
114.201942444,-45,100
114.804457188,-43,100
115.204739094,-45,100
115.806410313,-51,98
116.206955433,-49,100
116.807887077,-55,90
117.208169937,-47,100
117.812097073,-49,100
118.212378979,-47,100
118.816779137,-49,100
119.216598034,-47,100
119.818528175,-51,98
120.218811035,-45,100
120.822737217,-47,100
121.223020077,-47,100
121.826947212,-57,86
122.227229118,-43,100
122.828191280,-47,100
123.231468201,-49,100
123.832495213,-45,100
124.233777046,-62,76
124.836716175,-51,98
125.237986565,-45,100
125.842010021,-45,100
126.843221188,-47,100
127.246501446,-49,100
127.847430229,-45,100
128.248714447,-44,100
128.851639748,-51,98
129.252923489,-49,100
129.856676578,-62,76
130.257133484,-55,90
130.858192444,-43,100
131.261473656,-45,100
131.862401485,-47,100
132.263604164,-47,100
132.864614487,-53,94
133.264900684,-49,100
133.668177605,-53,94
134.272104740,-51,98
134.672386646,-49,100
135.273319244,-47,100
135.676595688,-51,98
136.277528286,-57,86
136.678808689,-57,86
137.279741287,-47,100
137.683017731,-47,100
138.286862850,-45,100
138.687226772,-45,100
139.288159370,-43,100
139.691436768,-49,100
140.292368412,-51,98
140.693658829,-51,98
141.296577931,-53,94
141.697857857,-49,100
142.301540375,-51,98
142.702067852,-45,100
143.302999497,-49,100
143.706276894,-47,100
144.307209492,-60,80
144.707493305,-51,98
145.110771656,-43,100
145.712640285,-51,98
146.316224098,-45,100
146.716907978,-45,100
147.317930222,-45,100
147.721602440,-45,100
148.322229385,-55,90
148.722511291,-45,100
149.326438427,-47,100
149.726721287,-49,100
150.331573010,-47,100
150.731807232,-53,94
151.332860470,-49,100
151.736158371,-53,94
152.337069511,-51,98
152.737352371,-51,98
153.338284016,-49,100
153.741561413,-55,90
154.342495918,-49,100
154.743773460,-47,100
155.346378803,-53,94
155.750977993,-49,100
156.351885319,-47,100
156.752192497,-58,84
157.353125095,-51,98
157.756901264,-45,100
158.357670784,-49,100
158.758951187,-53,94
159.361880303,-51,98
159.763160229,-43,100
160.366091251,-45,100
160.767459392,-45,100
161.167745590,-43,100
161.771668911,-49,100
162.171954632,-55,90
162.773831367,-49,100
163.174168110,-47,100
163.778090477,-45,100
164.181358814,-45,100
164.782299995,-45,100
165.182586193,-47,100
165.786509037,-37,100
166.186795235,-39,100
166.787725449,-37,100
167.189008236,-37,100
167.792852402,-37,100
168.196115971,-37,100
168.797140121,-35,100
169.197426319,-33,100
169.801349163,-33,100
170.201635838,-33,100
170.802563667,-37,100
171.203848362,-35,100
171.806773663,-35,100
